token,alias_of
นิ่มซี่เส็ง สาขาตลาดไท,นิ่มซีเส็ง สาขาตลาดไทย
ฟิวเจอร์พาร์ค รังสิต (FP),ฟิวเจอร์พาร์ค รังสิต
โรงงานไข่แปรรูปบ้านนา (นครนายก),CPF โรงงานไข่แปรรูปบ้านนา นครนายก
ชัยนรินทร์,ชัยนริทร์
เมกะบางนา,เมกกะ บางนา
อเมริกันยูโรเปี้ยน,อเมริกัน ยุโรเปี้ยน
ปิติชัยโลจิสติกส์,ปิติชัยโลจิสติคส์
เดอะมอลล์ไลฟ์สโตร์ ท่าพระ (TTP),เดอะมอลล์ไลฟ์สโตร์ ท่าพระ
SATS Food (แซตฟู้ด (ปทุมธานี)) (ุ6W),SATS Food (แซตฟู้ด (ปทุมธานี))
วินแชนซ์ ฟู้ดส์ นิคมบางพลี,วินแชนส์ ฟู้ดส์ (นิคมฯบางพลี)
ทวีวงศ์ (สมุทรสาคร),ทวีวงษ์ (สมุทรสาคร)
แฟชั่น ไอซ์แลนด์ (FI),แฟชั่น ไอซ์แลนด์
แฟชั่น ไอซ์แลน (FI),แฟชั่น ไอซ์แลนด์ (FI)
CPF บางน้ำเปรี๊ยว,CPF บางน้ำเปรี้ยว
LKB 3 EVERGREEN (LCD),LKB 3 EVERGREEN (ICD)
OM DEPOT,OM DEPORT
บิ๊กซีลาดพร้าว,บิ้กซีลาดพร้าว
EVERWELL GLOBAL,Everwell Grobal
LINFOX บางบ่อ,Linfox DC (บางบ่อ)
ศูนย์กระจายสินค้าโลตัส ลําลูกกา,ศูนย์กระจายสินค้าโลตัส ลําลูกกา งดใช้
LKB 3 EVREGREEN,LKB 3 EVERGREEN
บางกอกซีฟู้ดส์,บางกอกซีฟู้ด
นิ่มซี่เส็งขนส่ง (สาขาตลาดไทย),นิ่มซี่เส็งขนส่ง ตลาดไทย
LSG สนามบินสุวรรณภูมิ,สนามบินสุวรรณภูมิ
ปั๊ม PT มหาชัย,ปั้ม PT มหาชัย
โชนสมุทรสาคร,โซนสมุทรสาคร
คาร์กิลล์ สระบุรี 10W,คาร์กิลล์ สระบุรี
อยุธยา ซิตี้พาร์ค (ACP),อยุธยา ซิตี้พาร์ค
โกโบล ฟู้ดส์,โกลโบ ฟู้ดส์
ไทยกูลิโกะ ปทุมธานี,กูลิโกะ ปทุมธานี
เมกกะ บางนา (MB),เมกกะ บางนา
เทอมินอล พระราม3 (TR3),เทอมินอล พระราม3
สุขุมวิท 93 6w,สุขุมวิท 93
Nestlé ระยอง,Nestle ระยอง
เชสเตอร์ฟู้ด ตะหลิว รังสิต,เชสเตอร์ฟู้ด ตะหลิว โลตัส รังสิต
มนต์โลจิสติกส์ 22W,มนต์โลจิสติกส์
เซ็นทรัลศาลายา (CSY),เซ็นทรัลศาลายา
สีลมคอมเพล็กซ์,สีลม คอมเพล็กซ์ (SCP)
CP บางน้ำเปรี๊ยว,CPF บางน้ำเปรี้ยว
เซ็นทรัล ชลบุรี (CCB),เซ็นทรัล ชลบุรี
เจ๊บเซ่น (รับเอกสาร),เจ๊บเซ่น (เอกสาร)
สหมิตรฟู้ด โคราช,สหมิตรฟูดส์ โคราช
มารีนโกล์ด,มารีน โกลด์
ไทยเดลม่าร์,ไทยเดลม่า
สุขสัวสดิ์,สุขสวัสดิ์
สุกี้จินดา (สาขาเมืองทอง),สุกี้จินดา (เมืองทอง)
บจก.บิลเลี่ยน มินเลี่ยน (D101688),บจก.บิลเลี่ยน มินเลี่ยน (D101693)
บจก.บิลเลี่ยน มินเลี่ยน (D101650),บจก.บิลเลี่ยน มินเลี่ยน (D101693)
PCS (ห้องเย็นแปซิฟิค) (ขึ้นสินค้า),PCS (ห้องเย็นแปซิฟิค)
PCS (ห้องเย็นแปซิฟิค) (สินค้า),PCS (ห้องเย็นแปซิฟิค)
Mars CHB,มาร์ส เพ็ทแคร์ (ประเทศไทย) จำกัด - ชลบุรี
PCS,PCS (ห้องเย็นแปซิฟิค)
PACS,PACS (แปซิฟิค สระบุรี)
CW2,CW2/G ครัวกลางแห้ง
คลังโมบาย,คลังโมบาย กม.19
TUF 5 เกตุม,TUF
ครัวกลาง CW2,CW2/G ครัวกลางแห้ง
HHT,HHT (ฮาร์มเลส ฮาร์เวสท์)
