token,frequency,alias_of,search_query,lat,lon,place_id,formatted_address,geocode_source,geocode_confidence,verified,note,dup_coord_group,dup_coord_count,dup_coord_flag
Mars CHB,1477,มาร์ส เพ็ทแคร์ (ประเทศไทย) จำกัด - ชลบุรี,Mars CHB,13.808228199999999,100.55843109999999,ChIJZTl4evOc4jAR8sB73vr4q8o,123 อาคาร ซันทาวเวอร์ ถนน วิภาวดีรังสิต แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,places,high,,,,,
เซ็นทรัล แจ้งวัฒนะ,1228,,เซ็นทรัล แจ้งวัฒนะ,13.9038246,100.52815609999999,ChIJW4cpDp2E4jARIwiyr5fqAI4,"99, 99/9 หมู่ที่ 2 ถ. แจ้งวัฒนะ ตำบลบางตลาด อำเภอปากเกร็ด นนทบุรี 11120",places,high,,,D009,4,"same coords, DIFFERENT place_id"
ALLCOCO (ออล โคโค กรุ๊ป),1114,,ออล โคโค กรุ๊ป ALLCOCO,13.5914202,100.1284167,ChIJC0eeKV7E4jAR9xC33RTS9hs,"139/6 Moo2, Laksam, A Banpeaw, Samutsakorn, ตำบล หลักสาม อำเภอบ้านแพ้ว สมุทรสาคร 74120",places,high,,,,,
CW2,1084,CW2/G ครัวกลางแห้ง,CW2,15.636018799999999,100.10475439999999,ChIJt-Z-dd5N4DARz0qwIzFiULY,J4P3+CW2 ตำบล กลางแดด อำเภอเมืองนครสวรรค์ นครสวรรค์ 60000,places,low,,,,,
ไก่สดเซนทาโก,1060,,ไก่สดเซนทาโก,14.0369602,100.616631,ChIJ8_wwpeh_4jARTi6FPhZr2qw,"Phaholyothin Frontage Road, ตำบล คลองหนึ่ง อำเภอคลองหลวง ปทุมธานี 12120",places,high,,,,,
PACK (บางนา กม.19),1054,,บางนา กม.19 PACK,13.607418299999999,100.7687198,ChIJmzS98JJcHTER2LnePQ7ObJo,7 ทางคู่ขนาน ถนนบางนา-ตราด ตำบลบางโฉลง อำเภอบางพลี สมุทรปราการ 10540,places,medium,,,D010,2,"same coords, same place_id"
KGS (เคียวคุโย โกลบอล),905,,เคียวคุโย โกลบอล KGS,13.5569329,100.2621977,ChIJFfuCLR254jARt9FSBWNwVHQ,ตำบล ท่าทราย อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,high,,,,,
PACJ สุวินทวงศ์,901,Jpac สุวินทวงศ์,,,,,,,,,,,,
PACJ สุวิทวงศ์,836,Jpac สุวินทวงศ์,,,,,,,,,,,,
BKK/LKB,713,,BKK/LKB,13.7348611,100.7669706,ChIJ_-O7ymhnHTERz7j2vYdXtFo,33/4 ซ. ไอซีดี 7 แขวงคลองสามประเวศ เขตลาดกระบัง กรุงเทพมหานคร 10520,places,high,,,D011,5,"same coords, same place_id"
HHT (ฮาร์มเลส ฮาร์เวสท์),668,,ฮาร์มเลส ฮาร์เวสท์ HHT,13.5817041,100.2012438,ChIJ7R4DMBzH4jARTPbALjtXHBA,H6J2+MFQ ตำบล บ้านเกาะ อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,high,,,D013,2,"same coords, same place_id"
อินาบะ,595,,อินาบะ,14.362298799999998,100.84062949999999,ChIJn6JcX_-SHTER2erWcA2cFfE,"190, ถนน หนอง ปลา กระดี่, ตำบล หนองปลิง อำเภอหนองแค สระบุรี 18140",places,high,,,,,
DC Makro Wang Noi,588,,DC Makro Wang Noi,14.2260993,100.7057462,ChIJ-SGURNaHHTERGCRoKYDE2Gc,"245,245/2-3 ตำบล ลำไทร อำเภอวังน้อย จังหวัดพระนครศรีอยุธยา 13170",places,medium,,,D015,2,"same coords, same place_id"
ห้องเย็นรักชัย (มหาชัย),585,,มหาชัย ห้องเย็นรักชัย,13.563419,100.2924805,ChIJ3eX_P1i44jARAGJWzf6IN8g,57/6 หมู่ 4 ถนนเอกชัย โคกขาม เมือง สมุทรสาคร 74000,places,high,,,D014,4,"same coords, same place_id"
ไทย ออซัม,575,,ไทย ออซัม,13.594688399999999,99.7974983,ChIJO3R1qa4l4zARVFiheIb4pXM,91 หมู่ 1 ตำบล หนองกลางนา อำเภอเมืองราชบุรี ราชบุรี 70000,places,high,,,,,
สมายมีท,568,,สมายมีท,13.372760099999999,99.77226759999999,ChIJ21SrecIt4zARahdpSpXwiqA,309 ตำบลดอนทราย อำเภอปากท่อ ราชบุรี 70140,places,high,,,,,
CW2/G ครัวกลางแห้ง,531,,CW2/G ครัวกลางแห้ง,13.674626,100.631002,ChIJ0wPyGABfHTEREo7QsqtpsnY,45/13 ซอย บางนา-ตราด 19 แยก 24 แขวงบางนาเหนือ เขตบางนา กรุงเทพมหานคร 10260,places,high,,,,,
มาร์ส เพ็ทแคร์ (ประเทศไทย) จำกัด - ชลบุรี,509,,ประเทศไทย มาร์ส เพ็ทแคร์ จำกัด - ชลบุรี,13.4561789,101.1005037,ChIJnakg8OwwHTERUTn4MMvtW5I,F442+F6C ตำบล มาบโป่ง อำเภอพานทอง ชลบุรี 20160,places,high,,,D017,3,"same coords, same place_id"
DC Makro Mahachai,493,,DC Makro Mahachai,13.5003258,100.1285835,ChIJo0kG6grP4jARQQOh1ErWZ9E,"64/2 64/2, ตำบล กาหลง อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000",manual,high,y,"was geocoded to the wrong ""DC Makro Mahachai"" candidate (a Makro/Lotus mall ~1km from origin) instead of the real distribution center; corrected 2026-09-23, see sum.md",D012,9,"same coords, same place_id"
JWD ฉะเชิงเทรา,472,,JWD ฉะเชิงเทรา,13.770944799999999,100.98044259999999,ChIJJx85rFITHTERzs8-3ybiVa0,99 3 ถ. สุวินทวงศ์ ตำบลคลองนครเนื่องเขต อำเภอเมืองฉะเชิงเทรา ม.11 24000,places,high,,,D003,5,"same coords, same place_id"
TUF โรงหมึก,464,,TUF โรงหมึก,12.709393299999999,101.2381302,ChIJ7cSGKXH7AjERtV4j7K7z8f4,29 ซอย โรงหมึก 1 ตำบลทับมา อำเภอเมืองระยอง ระยอง 21000,places,medium,,,D018,2,"same coords, same place_id"
PCS,441,PCS (ห้องเย็นแปซิฟิค),PCS,13.689980600000002,100.61136669999999,ChIJZ-u2dfmf4jAR6om2bZHwMSk,234 ซอย สุขุมวิท 101 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,places,low,,,,,
LKB - ICD1,388,,ICD ลาดกระบัง,13.741135,100.7620529,ChIJ029WkVdnHTER-Fz8kxSd9do,33/4 ซอย ไอซีดี แขวงคลองสามประเวศ เขตลาดกระบัง กรุงเทพมหานคร 10520,places,high,,,D021,3,"same coords, same place_id"
TAKO (ทาโกฟู้ดส์),383,,ทาโกฟู้ดส์ TAKO,13.6963257,100.08046639999999,ChIJ8f76aPXq4jARCZUYNyU-z_g,"50/10 หมู่ 3 ถนนพระประโทน-บ้านแพ้ว, ตำบล ตลาดจินดา อำเภอสามพราน นครปฐม 73110",places,high,,,D023,2,"same coords, same place_id"
LUF (ลัคกี้ ยูเนี่ยน ฟู้ดส์),382,,ลัคกี้ ยูเนี่ยน ฟู้ดส์ LUF,13.5511278,100.23099289999999,ChIJNSgKFbvH4jARBl9s3fLfmqM,"1, 74-75 ตำบล ท่าทราย อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000",places,high,,,,,
โอคินอสฟู้ด (OKF),377,,OKF โอคินอสฟู้ด,13.570111299999999,100.2989623,ChIJz79Nevu44jARealzzY_bheY,"85, 85/2, 30/2, 42/1 ตำบล นาดี อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000",places,high,,,D019,6,"same coords, same place_id"
นิฮอนอิจิ,377,,นิฮอนอิจิ,14.389500199999999,100.832866,ChIJlaa5F2yTHTERNjWyFxFygFw,9RQM+R45 ตำบล บัวลอย อำเภอหนองแค สระบุรี 18230,places,high,,,,,
สุวรรณภูมิ,371,,สุวรรณภูมิ,13.6818969,100.7468694,ChIJTydCFXdnHTERB3oVT1UZDRI,999 หมู่ที่ 1 หนองปรือ อำเภอบางพลี สมุทรปราการ 10540,places,high,,,D022,2,"same coords, same place_id"
Nestle ระยอง,361,,Nestle ระยอง,12.9562682,101.1132657,ChIJXwuN82DCAjERjVf7OKWFs2k,7/279 Mabyangporn ตำบล มาบยางพร อำเภอปลวกแดง ระยอง 21140,places,medium,,,D024,2,"same coords, same place_id"
TUM,340,,TUM,13.592211299999999,100.2809635,ChIJ80OJdzq54jARSdrsqDSr9Rs,8/8 นาดี ตำบล นาดี อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,low,,,,,
Havi (Bangna),340,,Bangna Havi,13.5709863,100.7744519,ChIJlXeFDVVDHTER8ANMemLr_Ag,989 ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ 10570,places,high,,,D020,7,"same coords, same place_id"
KONOIKE (โคโนอิเกะ),339,,โคโนอิเกะ KONOIKE,13.5984973,100.7695177,ChIJ0S7FD19cHTERAWZIr2BXxac,335 29 หมู่ ที่ 9 กม .19 ทางคู่ขนาน ถนนบางนา-ตราด ตำบลบางโฉลง อำเภอบางพลี สมุทรปราการ 10540,places,medium,,,D026,4,"same coords, same place_id"
I - Tail,337,,ไอเทล คอร์ปอเรชั่น สมุทรสาคร,13.5694942,100.27786619999999,ChIJJZzr82G54jAREj9hdBwXQdI,30 24 ตำบล ท่าทราย อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,high,,,D028,2,"same coords, same place_id"
ไทยโยโกเร วังน้อย,331,,ไทยโยโกเร วังน้อย,14.263730599999999,100.78289099999999,ChIJi_DB2-2PHTERHadw7I6uVqY,"1 Phaholyothin Frontage Road, ตำบล สนับทึบ อำเภอวังน้อย จังหวัดพระนครศรีอยุธยา 13170",places,high,,,D016,3,"same coords, same place_id"
PACR/PACS,328,,PACR/PACS,13.8578564,100.6427286,ChIJDYPqMc9iHTERjJYY40LUxJg,PAC Eco Center วิชั่น บิสิเนส พาร์ค เฟส 2 แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10230,places,medium,,,,,
MK (เอ็มเคห้องเย็น),324,,เอ็มเคห้องเย็น MK,13.585645500000002,100.2916652,ChIJ5byu8G644jARZvPr_wm_NNc,69 1 ตำบล นาดี อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,high,,,D030,2,"same coords, same place_id"
PAT 1,317,,PAT 1,13.8304966,100.5916266,ChIJx2CNUIGd4jARLCEMaSEDvW0,RHJR+5MR โกยีข้าวผัดปูสี่แยก ถ. ลาดพร้าววังหิน แขวงลาดพร้าว ลาดพร้าว กรุงเทพมหานคร 10230,places,high,,,,,
TUF โรงกุ้ง,311,,TUF โรงกุ้ง,13.570086799999999,100.29893949999999,ChIJAbWge_u44jARbSRF7D5xoq0,"85 2, ตำบล นาดี อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000",places,high,,,D029,2,"same coords, same place_id"
มนต์โลจิสติกส์,308,,มนต์โลจิสติกส์,13.120202500000001,100.9732319,ChIJ7YEATAK4AjERurfdGKUh9aU,4XCF+37Q ทางคู่ขนานทางหลวงหมายเลข 7 ถนนหน้าบ้าน ตำบล หนองขาม อำเภอศรีราชา ชลบุรี 20110,places,high,,,,,
เมกกะ บางนา,297,,เมกกะ บางนา,13.6460422,100.68115069999999,ChIJB63oElteHTERGde4uax1oZ0,38/1-3 39 หมู่ที่ 6 ทางคู่ขนาน ถนนบางนา-ตราด ตำบล บางแก้ว อำเภอบางพลี สมุทรปราการ 10540,places,high,,,D027,2,"same coords, same place_id"
ครัวกลางมากุโระ,295,,ครัวกลางมากุโระ,13.6725327,100.65338930000001,ChIJbZkkz-RfHTERUEOSfTkhvn0,5/2 เฉลิมพระเกียรติรัชกาลที่ 9 ซอย 6 แขวง หนองบอน เขต ประเวศ กรุงเทพมหานคร แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,places,high,,,D034,2,"same coords, same place_id"
เทอมินอล พระราม3,291,,เทอมินอล พระราม3,13.6895305,100.5059357,ChIJGRzQ52Sj4jARbBtNZ_DgFWg,356 ถ. พระรามที่ 3 แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120,places,high,,,D036,2,"same coords, same place_id"
ครัวกลาง CW2,289,CW2/G ครัวกลางแห้ง,ครัวกลาง CW2,13.5498008,100.23763369999999,ChIJNbKxKpbH4jARjj9sQzXAdcE,ตำบล ท่าทราย อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000 ประเทศไทย,places,high,,,,,
Pakfood (แพ็คฟู้ด),288,,แพ็คฟู้ด Pakfood,13.570064499999999,100.30206129999999,ChIJPRR1jAy54jAReOcp5d5Ce6o,49 12 ตำบล นาดี อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,high,,,D032,4,"same coords, same place_id"
อยุธยา ซิตี้พาร์ค,287,,อยุธยา ซิตี้พาร์ค,14.3359754,100.61124430000001,ChIJ-7vO__p14jARxnUJyMdyH-k,126 หมู่ที่ 3 ถนน สายเอเชีย ตำบลคลองสวนพลู อำเภอ พระนครศรีอยุธยา จังหวัดพระนครศรีอยุธยา 13000,places,high,,,,,
ซีคอน บางแค,284,,ซีคอน บางแค,13.711445999999999,100.4341056,ChIJacymdfSX4jARija6OZrv3Y4,607 ถ. เพชรเกษม แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160,places,high,,,D033,3,"same coords, same place_id"
LKB 1,270,,LKB 1,13.726275,100.7188364,ChIJKV-2gLRnHTERpSGhs5Z6_PM,119 แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,places,medium,,,,,
GFPT,269,,GFPT,13.6825879,100.4780833,ChIJsbEBzYWi4jARk_c0tKKYvC4,312 ถ. พระรามที่ 2 แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150,places,low,,,,,
เทอมินอล 21,264,,เทอมินอล 21,13.7379635,100.5604058,ChIJuWuZbh6f4jAReZMEm2xxgzM,88 ซอย สุขุมวิท 19 แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,places,high,,,D038,2,"same coords, same place_id"
PACS,257,PACS (แปซิฟิค สระบุรี),PACS,9.7350967,99.9869528,ChIJBZEzP5P9VDAR6_kqq8lswfI,14/1 เกาะพะงัน ตำบลเกาะพะงัน อำเภอเกาะพะงัน สุราษฎร์ธานี 84280,places,low,,,,,
SCGN (Phase1),253,,Phase1 SCGN,13.083490999999999,100.89191400000001,ChIJBXUsXIC5AjERA8FSXhb_KY0,ตำบลทุ่งสุขลา อำเภอศรีราชา ชลบุรี 20230,places,low,,,,,
มารีน โกลด์,247,,มารีน โกลด์,13.5632665,100.30060119999999,ChIJEwxGU5XH4jARGlUxgaJwPCA,57 37 หมู่ที่ 4 ถ. เอกชัย ตำบล โคกขาม อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,high,,,D025,3,"same coords, same place_id"
สุรเชษฐ์ (กาญจนบุรี),246,,กาญจนบุรี สุรเชษฐ์,13.8087553,99.6146609,ChIJb8w3VwAV4zAR3voGr8-LGzk,RJ57+GV3 ตำบล หนองตากยา อำเภอท่าม่วง กาญจนบุรี 71110,places,medium,,,,,
TYC วังน้อย,245,,TYC วังน้อย,14.263730599999999,100.78289099999999,ChIJi_DB2-2PHTERHadw7I6uVqY,"1 Phaholyothin Frontage Road, ตำบล สนับทึบ อำเภอวังน้อย จังหวัดพระนครศรีอยุธยา 13170",places,high,,,D016,3,"same coords, same place_id"
โลตัส บางบ่อ,241,,โลตัส บางบ่อ,13.581510399999999,100.8355315,ChIJN4AadINEHTERLB0fhjMqDtw,328 ถนน รัตนราช ตำบล บางบ่อ อำเภอบางบ่อ สมุทรปราการ 10560,places,high,,,D042,2,"same coords, same place_id"
สยามไบโอไซเอนซ์,238,,สยามไบโอไซเอนซ์,13.843929,100.3378899,ChIJ3z1-BTCS4jARe8df06zuKw8,99 บ้านใหม่ อำเภอบางใหญ่ นนทบุรี 11140,places,high,,,D043,3,"same coords, same place_id"
โลตัส พระราม4,238,,โลตัส พระราม4,13.717412,100.5682889,ChIJL4b0yw6f4jARsrCRvv0q02k,3300 ถ. พระรามที่ 4 แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110,places,high,,,D040,2,"same coords, same place_id"
ซีคอนสแควร์,231,,ซีคอนสแควร์,13.694205000000002,100.64877880000002,ChIJ34KO_dNfHTERDPb7GoTQw-w,55 ถ. ศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,places,high,,,D044,2,"same coords, same place_id"
SPF Diana (บางกระเจ้า),230,,บางกระเจ้า SPF Diana,13.538616200000002,100.2018679,ChIJXxiVoTnG4jARoKfWBLcXvSo,"68/5 Moo.8 Bangkrachao, Bangkrachao, อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000",places,high,,,D037,4,"same coords, same place_id"
แฟชั่น ไอซ์แลนด์,229,,แฟชั่น ไอซ์แลนด์,13.82629,100.679017,ChIJd57HEQRjHTERG_xSTcdQoYs,587-589/7-9 ถ. รามอินทรา แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230,places,high,,,,,
สยามพารากอน,229,,สยามพารากอน,13.747078199999999,100.5353086,ChIJXV3hsTWf4jARAkDDObOMNI4,451 ถ. พระรามที่ 1 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330,places,high,,,,,
โคแพค,222,,โคแพค,13.644525199999999,100.6475973,ChIJVe3xRqJfHTERfJVIiIuZWYo,"44 Moo16 Tambon, ตำบล บางแก้ว อำเภอบางพลี สมุทรปราการ 10540",places,high,,,,,
DC Makro Mahachai (แมคโครมหาชัย),218,,แมคโครมหาชัย DC Makro Mahachai,13.5003258,100.1285835,ChIJo0kG6grP4jARQQOh1ErWZ9E,"64/2 64/2, ตำบล กาหลง อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000",manual,high,y,"was geocoded to the wrong ""DC Makro Mahachai"" candidate (a Makro/Lotus mall ~1km from origin) instead of the real distribution center; corrected 2026-09-23, see sum.md",D012,9,"same coords, same place_id"
เทอมินอล พัทยา (TPY),218,,TPY เทอมินอล พัทยา,12.949901599999999,100.8900113,ChIJvRvtdP69AjERCLaTm5r-r6c,777 777/1 ตำบล เมืองพัทยา อำเภอบางละมุง ชลบุรี 20150,places,high,,,D039,2,"same coords, same place_id"
บริษัท ทิมฟู้ด จำกัด,213,,บริษัท ทิมฟู้ด จำกัด,14.2487781,101.1564767,ChIJL5No84O6HTERTfTflCLBQ0E,65X4+GH9 ตำบล พรหมณี อำเภอเมืองนครนายก นครนายก 26000,places,high,,,,,
(CP RAM) ซีพีแรม ลาดกระบัง,212,,CP RAM  ซีพีแรม ลาดกระบัง,13.7701595,100.78611289999999,ChIJEyi5LxlmHTERv0nTe7DA2Ds,"149 31 Soi Chalong Krung, แขวงลำปลาทิว เขตลาดกระบัง กรุงเทพมหานคร 10520",places,high,,,D035,2,"same coords, same place_id"
บางกอกซีฟู้ด,211,,บางกอกซีฟู้ด,13.5751479,100.30760959999999,ChIJAQBUBzG_4jARc0Ex6_9_QEk,66 8 ถ. เอกชัย ตำบล นาดี อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,high,,,D047,3,"same coords, same place_id"
เซ็นทรัลศาลายา,208,,เซ็นทรัลศาลายา,13.787275999999999,100.276331,ChIJwVOzOqGU4jARLGBjcwdsB1U,99 21 ตำบล บางเตย อำเภอสามพราน นครปฐม 73210,places,high,,,D049,2,"same coords, same place_id"
เอสพานาด,200,,เอสพานาด,13.766522,100.5695168,ChIJLyx2oYie4jARs6hJxnwDq8A,99 ถ. รัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,places,high,,,D048,2,"same coords, same place_id"
โลตัส สุขาภิบาล 3 (LS3),199,,LS3 โลตัส สุขาภิบาล 3,13.8067835,100.7250887,ChIJKX7j7XNkHTERiemVW0H9C9c,"101, 101/1 ถ. รามคำแหง แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510",places,high,,,D051,2,"same coords, same place_id"
ฟิวเจอร์พาร์ค รังสิต,195,,ฟิวเจอร์พาร์ค รังสิต,13.9869185,100.6184471,ChIJi5ZK6tiB4jARHb2vVfz1VCE,94 ถ. พหลโยธิน ตำบล ประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี 12130,places,high,,,,,
CB COCONUTS ราชบุรี,187,,CB COCONUTS ราชบุรี,13.538950999999999,99.915483,ChIJ3dMyCRvY4jARHuaujpXIOCw,269 หมู่1 แพงพวย ตำบล แพงพวย อำเภอดำเนินสะดวก ราชบุรี 70130,places,high,,,D031,2,"same coords, same place_id"
ขอนแก่น,186,,ขอนแก่น,16.432153,102.8235572,ChIJL46YkStgIjERxpx5zwUIPwk,เทศบาลนครขอนแก่น อำเภอเมืองขอนแก่น ขอนแก่น 40000,places,high,,,,,
บริษัท ซิลลิค ฟาร์มา (บางนา กม.23),186,,บางนา กม.23 บริษัท ซิลลิค ฟาร์มา,13.6146582,100.80237819999999,ChIJE7hNmltDHTERkEVNccylaSQ,99 19 หมู่ที่ 3 ทางคู่ขนาน ถนนบางนา-ตราด ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ 10540,places,high,,,D050,5,"same coords, same place_id"
วังน้อย,184,,วังน้อย,14.2524816,100.7323332,ChIJK9JE0VCPHTERgFIMRTeSAQM,อำเภอวังน้อย จังหวัดพระนครศรีอยุธยา,places,high,,,,,
OKF/TUF,184,,OKF/TUF,13.571548199999999,100.2682159,ChIJ-6EP_4S44jAR3pF9sR3Cjzw,H7C9+J78 ตำบล ท่าทราย อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,medium,,,,,
ไทยโยโกเรสำโรง,183,,ไทยโยโกเรสำโรง,13.6592782,100.5736357,ChIJ_wq2uLSh4jARhvRisJWOqUo,MH5F+PF6 ตำบล สำโรง อำเภอพระประแดง สมุทรปราการ 10130,places,high,,,D054,6,"same coords, same place_id"
SPF (รับถัง),182,,รับถัง SPF,13.640403899999999,100.3092866,ChIJ9QhWMQC_4jARPL5a-D7aGXI,J8R5+6VF ตำบล แคราย อำเภอกระทุ่มแบน สมุทรสาคร 74110,places,low,,,,,
แหลมทองผลิตภัณฑ์อาหาร สาย5,174,,แหลมทองผลิตภัณฑ์อาหาร สาย5,13.7201971,100.29907879999999,ChIJ_7N3XXOV4jAR2SpBTuRmJRE,"บริษัท แหลมทองผลิตภัณฑ์อาหาร จำกัด, ตำบล ไร่ขิง อำเภอสามพราน นครปฐม 73220",places,high,,,,,
TUF 5 เกตุม,171,TUF,TUF 5 เกตุม,17.1693381,104.14142079999999,ChIJmdPmWlPzPDERFFMuIGVwICc,เลขที่ 263 ถนน ใสสว่าง ธาตุเชิงชุม อำเภอเมืองสกลนคร สกลนคร 47000,places,low,,,,,
เซ็นทรัล รามอินทรา (CRI),158,,CRI เซ็นทรัล รามอินทรา,13.8719433,100.60167829999999,ChIJMU0qiLSC4jARlkcUKOkqWUY,109 10 หมู่ที่ 3 ถ. รามอินทรา แขวง บางเขน เขตบางเขน กรุงเทพมหานคร 10220,places,high,,,D060,2,"same coords, same place_id"
เซ็นทรัล เวสต์เกต,150,เซ็นทรัล เวสเกต,,,,,,,,,,,,
Hatari,150,,Hatari,13.6226346,100.3844695,ChIJXaKWjSC94jARCgX2URrKB_A,11/7 พระรามที่ 2 ซอย 94 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,places,low,,,,,
อินเตอร์แพน พระราม4,148,,อินเตอร์แพน พระราม4,13.7189157,100.5738798,ChIJh2NGzJuf4jAR1I_0BZbxPnE,"107, 1 ซ สุขุมวิท 36 แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110",places,high,,,D061,2,"same coords, same place_id"
สายนนทบุรี,146,,สายนนทบุรี,13.860147600000001,100.5132409,ChIJ92FP5EWb4jARigUFVDlBltc,"ถนน รัตนาธิเบศร์ บางกระสอ ตำบลตลาดขวัญ, นนทบุรี 11000",places,high,,,D065,2,"same coords, same place_id"
เซ็นทรัล รามอินทรา,145,เซ็นทรัล รามอินทรา (CRI),,,,,,,,,,,,
